Date,Heure,S2STemp,S2SHR
21/12/2017,11:00:01,8,104.5
21/12/2017,12:00:01,8.7,103.1
21/12/2017,13:00:01,9,102.3
21/12/2017,14:00:01,9.1,101.7
21/12/2017,15:00:01,9.2,102.6
21/12/2017,16:00:01,9.3,101.7
21/12/2017,17:00:01,9.2,103.7
21/12/2017,18:00:01,9.2,105.6
21/12/2017,19:00:01,9.2,104.2
21/12/2017,20:00:01,9.2,104.3
21/12/2017,21:00:01,9.2,104.1
21/12/2017,22:00:01,9.3,104.2
21/12/2017,23:00:01,9.5,104.3
22/12/2017,00:00:01,9.4,104.2
22/12/2017,01:00:01,9.5,104.5
22/12/2017,02:00:01,9.3,104.4
22/12/2017,03:00:01,9,103.9
22/12/2017,04:00:01,8.8,104.8
22/12/2017,05:00:01,8.5,103.9
22/12/2017,06:00:01,8.3,103
22/12/2017,07:00:01,8.2,103.1
22/12/2017,08:00:01,8.3,101.9
22/12/2017,09:00:01,8.5,101.5
22/12/2017,10:00:01,8.8,100.7
22/12/2017,11:00:01,9.2,99.6
22/12/2017,12:00:01,9.4,99.6
22/12/2017,13:00:01,9.5,100.2
22/12/2017,14:00:01,9.7,100.2
22/12/2017,15:00:01,9.6,100.7
22/12/2017,16:00:01,9.4,100.3
22/12/2017,17:00:01,9.3,101.1
22/12/2017,18:00:01,9.2,101.8
22/12/2017,19:00:01,9.1,101.9
22/12/2017,20:00:01,9,102.3
22/12/2017,21:00:01,9,102
22/12/2017,22:00:01,8.9,101.9
22/12/2017,23:00:01,8.8,100.6
23/12/2017,00:00:01,8.8,98.7
23/12/2017,01:00:01,8.7,100.1
23/12/2017,02:00:01,8.5,101.3
23/12/2017,03:00:01,8.5,100.9
23/12/2017,04:00:01,8.5,100.9
23/12/2017,05:00:01,8.5,100.3
23/12/2017,06:00:01,8.6,95.9
23/12/2017,07:00:01,8.5,96.4
23/12/2017,08:00:01,8.7,96.9
23/12/2017,09:00:01,8.6,97.7
23/12/2017,10:00:01,8.7,100.2
23/12/2017,11:00:01,9.1,99.1
23/12/2017,12:00:01,9.2,100.3
23/12/2017,13:00:01,9.1,100.3
23/12/2017,14:00:01,9.8,93.7
23/12/2017,15:00:01,9.3,93.7
23/12/2017,16:00:01,8.9,97
23/12/2017,17:00:01,8.7,97.6
23/12/2017,18:00:01,8.4,97.9
23/12/2017,19:00:01,8.1,100.2
23/12/2017,20:00:01,8.2,99.6
23/12/2017,21:00:01,8.3,98.4
23/12/2017,22:00:01,8.4,98.2
23/12/2017,23:00:01,8.3,99.3
24/12/2017,00:00:01,8.1,100.1
24/12/2017,01:00:01,8.3,98.6
24/12/2017,02:00:01,8.3,98.8
24/12/2017,03:00:01,8.4,97.6
24/12/2017,04:00:01,8.2,97.6
24/12/2017,05:00:01,8,99.2
24/12/2017,06:00:01,7.7,101.8
24/12/2017,07:00:01,7.7,101.9
24/12/2017,08:00:01,8.1,99.8
24/12/2017,09:00:01,8.1,100.3
24/12/2017,10:00:01,8.2,100.4
24/12/2017,11:00:01,8.5,99.7
24/12/2017,12:00:01,8.5,100.3
24/12/2017,13:00:01,8.4,100.3
24/12/2017,14:00:01,8.5,99.3
24/12/2017,15:00:01,8.5,96.6
24/12/2017,16:00:01,8.2,95
24/12/2017,17:00:01,7.9,97
24/12/2017,18:00:01,7.7,98.6
24/12/2017,19:00:01,7.8,98.4
24/12/2017,20:00:01,7.7,99.3
24/12/2017,21:00:01,7.7,98.5
24/12/2017,22:00:01,7.6,99.6
24/12/2017,23:00:01,7.5,98
25/12/2017,00:00:01,7.7,97.4
25/12/2017,01:00:01,7.3,98.1
25/12/2017,02:00:01,7.3,96.7
25/12/2017,03:00:01,7.3,95.4
25/12/2017,04:00:01,7.1,96.5
25/12/2017,05:00:01,6.7,97
25/12/2017,06:00:01,6.4,96.6
25/12/2017,07:00:01,5.9,97.9
25/12/2017,08:00:01,5.2,96.1
25/12/2017,09:00:01,5,95.6
25/12/2017,10:00:01,4.5,97.5
25/12/2017,11:00:01,4.5,95.7
25/12/2017,12:00:01,4.5,96.1
25/12/2017,13:00:01,4.3,99
25/12/2017,14:00:01,4.5,95.9
25/12/2017,15:00:01,4.3,95.4
25/12/2017,16:00:01,4.1,94.9
25/12/2017,17:00:01,3.8,97.2
25/12/2017,18:00:01,3.5,98.1
25/12/2017,19:00:01,3.1,100.4
25/12/2017,20:00:01,3.3,98.4
25/12/2017,21:00:01,3.3,98.7
25/12/2017,22:00:01,3.5,99.2
25/12/2017,23:00:01,3.9,98.4
26/12/2017,00:00:01,4,98.2
26/12/2017,01:00:01,3.6,98.8
26/12/2017,02:00:01,3.3,95.6
26/12/2017,03:00:01,3.6,94.5
26/12/2017,04:00:01,6.2,84.5
26/12/2017,05:00:01,4.5,100.8
26/12/2017,06:00:01,5.2,101.9
26/12/2017,07:00:01,5.2,103.5
26/12/2017,08:00:01,5.1,102.7
26/12/2017,09:00:01,5,102.3
26/12/2017,10:00:01,6.9,91.2
26/12/2017,11:00:01,6.2,92.1
26/12/2017,12:00:01,6.6,88.1
26/12/2017,13:00:01,6.5,86.4
26/12/2017,14:00:01,6.8,86.1
26/12/2017,15:00:01,6.7,86.1
26/12/2017,16:00:01,6.8,87.2
26/12/2017,17:00:01,6.7,89.5
26/12/2017,18:00:01,6.7,89.9
26/12/2017,19:00:01,6.4,91.2
26/12/2017,20:00:01,6.6,88.5
26/12/2017,21:00:01,6.3,88.7
26/12/2017,22:00:01,6.5,85.8
26/12/2017,23:00:01,6.4,84.4
27/12/2017,00:00:01,6.2,84.6
27/12/2017,01:00:01,4.5,98.1
27/12/2017,02:00:01,4.1,105
27/12/2017,03:00:01,4.3,105.1
27/12/2017,04:00:01,4.2,105.6
27/12/2017,05:00:01,4.1,105.5
27/12/2017,06:00:01,4.1,105.7
27/12/2017,07:00:01,4.7,106
27/12/2017,08:00:01,4.8,106.1
27/12/2017,09:00:01,5.3,104.2
27/12/2017,10:00:01,5.9,97.2
27/12/2017,11:00:01,7.2,94.1
27/12/2017,12:00:01,6.9,92.1
27/12/2017,13:00:01,5.8,99.1
27/12/2017,14:00:01,6.4,92.3
27/12/2017,15:00:01,5.5,99.8
27/12/2017,16:00:01,4.3,94.9
27/12/2017,17:00:01,4.3,93.9
27/12/2017,18:00:01,4.1,99.3
27/12/2017,19:00:01,3.8,98.4
27/12/2017,20:00:01,3.6,98.2
27/12/2017,21:00:01,3.6,95.7
27/12/2017,22:00:01,3.3,98.1
27/12/2017,23:00:01,3.6,92.3
28/12/2017,00:00:01,3.5,89
28/12/2017,01:00:01,3.1,89.2
28/12/2017,02:00:01,2.8,90.5
28/12/2017,03:00:01,2.5,91.7
28/12/2017,04:00:01,1.6,94.2
28/12/2017,05:00:01,1,95.6
28/12/2017,06:00:01,0.6,97.9
28/12/2017,07:00:01,0.5,98
28/12/2017,08:00:01,0.3,97.9
28/12/2017,09:00:01,2.7,91
28/12/2017,10:00:01,9.2,69.9
28/12/2017,11:00:01,12.5,58.4
28/12/2017,12:00:01,14.2,52.4
28/12/2017,13:00:01,15.2,47.1
28/12/2017,14:00:01,14.8,47.4
28/12/2017,15:00:01,10.3,53.9
28/12/2017,16:00:01,7.1,69.5
28/12/2017,17:00:01,4.9,79
28/12/2017,18:00:01,3.6,83
28/12/2017,19:00:01,3.3,86.2
28/12/2017,20:00:01,3.3,87.5
28/12/2017,21:00:01,2.8,89.9
28/12/2017,22:00:01,2.1,94.2
28/12/2017,23:00:01,2.1,93.5
29/12/2017,00:00:01,1.9,94.6
29/12/2017,01:00:01,1.6,96.9
29/12/2017,02:00:01,1.2,98.4
29/12/2017,03:00:01,1,98.7
