Date,Heure,S2OTemp,S2OHR
15/12/2017,03:00:01,3.8,95.1
15/12/2017,04:00:01,3.6,98.1
15/12/2017,05:00:01,3.5,104.3
15/12/2017,06:00:01,4,103.8
15/12/2017,07:00:01,2.9,105.9
15/12/2017,08:00:01,3.4,105.8
15/12/2017,09:00:01,3.5,105.6
15/12/2017,10:00:01,4.8,103.6
15/12/2017,11:00:01,4.8,95.8
15/12/2017,12:00:01,4.3,100.8
15/12/2017,13:00:01,4.1,104.6
15/12/2017,14:00:01,4,104.3
15/12/2017,15:00:01,4.3,103.5
15/12/2017,16:00:01,4,104.1
15/12/2017,17:00:01,3.6,105.9
15/12/2017,18:00:01,3.3,105.6
15/12/2017,19:00:01,3.5,105.8
15/12/2017,20:00:01,3.6,105.8
15/12/2017,21:00:01,3.6,104.9
15/12/2017,22:00:01,3.6,103.4
15/12/2017,23:00:01,3.5,103.8
16/12/2017,00:00:01,3.5,103.6
16/12/2017,01:00:01,3.6,103.5
16/12/2017,02:00:01,3.8,102.3
16/12/2017,03:00:01,3.8,101.4
16/12/2017,04:00:01,3.5,99.8
16/12/2017,05:00:01,3.1,102.3
16/12/2017,06:00:01,3.6,101.5
16/12/2017,07:00:01,3.9,100.9
16/12/2017,08:00:01,4.1,98.8
16/12/2017,09:00:01,3.8,99.3
16/12/2017,10:00:01,4,97.6
16/12/2017,11:00:01,4.3,96.7
16/12/2017,12:00:01,5,93.3
16/12/2017,13:00:01,4.6,91.9
16/12/2017,14:00:01,4.6,92.2
16/12/2017,15:00:01,4.3,90.7
16/12/2017,16:00:01,4.1,91.1
16/12/2017,17:00:01,3.8,91
16/12/2017,18:00:01,3.4,91.2
16/12/2017,19:00:01,2.6,96
16/12/2017,20:00:01,1.9,98
16/12/2017,21:00:01,1.6,97.7
16/12/2017,22:00:01,1.3,99.5
16/12/2017,23:00:01,0.9,100.6
17/12/2017,00:00:01,0.9,99.7
17/12/2017,01:00:01,1.8,97.9
17/12/2017,02:00:01,1.7,99.1
17/12/2017,03:00:01,1.6,102.3
17/12/2017,04:00:01,1.9,101.9
17/12/2017,05:00:01,1.6,103.1
17/12/2017,06:00:01,1.5,104.2
17/12/2017,07:00:01,1.1,105.8
17/12/2017,08:00:01,0.9,106
17/12/2017,09:00:01,1,106.2
17/12/2017,10:00:01,0.8,106.5
17/12/2017,11:00:01,0.9,106.1
17/12/2017,12:00:01,1.9,103.4
17/12/2017,13:00:01,3,98.5
17/12/2017,14:00:01,3.2,94.7
17/12/2017,15:00:01,3.2,94.1
17/12/2017,16:00:01,3.1,94.7
17/12/2017,17:00:01,2.2,97.1
17/12/2017,18:00:01,1.9,99.3
17/12/2017,19:00:01,1.7,99.8
17/12/2017,20:00:01,1.8,98.8
17/12/2017,21:00:01,2.3,99
17/12/2017,22:00:01,2,102.5
17/12/2017,23:00:01,2.4,101.7
18/12/2017,00:00:01,2.6,104
18/12/2017,01:00:01,3,105.8
18/12/2017,02:00:01,3.6,106.4
18/12/2017,03:00:01,4.5,106.5
18/12/2017,04:00:01,5,106
18/12/2017,05:00:01,5.5,105.8
18/12/2017,06:00:01,5.9,105.9
18/12/2017,07:00:01,6.3,105.3
18/12/2017,08:00:01,5.5,106.1
18/12/2017,09:00:01,4.9,105.8
18/12/2017,10:00:01,5.1,106
18/12/2017,11:00:01,5.8,106.7
18/12/2017,12:00:01,6,105.3
18/12/2017,13:00:01,7.5,104.8
18/12/2017,14:00:01,7,94.5
18/12/2017,15:00:01,6.8,91.4
18/12/2017,16:00:01,6.7,93.2
18/12/2017,17:00:01,6.1,91.8
18/12/2017,18:00:01,6.1,93.9
18/12/2017,19:00:01,6.2,95.7
18/12/2017,20:00:01,6,96.5
